profile name	profile description
Adhara Yoga	"Somos un centro de Yoga, coaching y terapias naturales, especializado en Kundalini Yoga. Tenemos además talleres, cursos, conferencias y mucho más. Estamos situados al lado del hospital Sant Pau."
adrAventur​a	"Adraventura es un club deportivo de multiaventura para practicar:

- Alpinismo
- Montañismo
- Escalada
- Esquí (Alpino / Travesía / Fondo)
- Senderismo
- Mountain bike
- Espeleología
- Espeleobuceo
- Buceo
- Barranquismo
- Parapente
- Airsoft
- 4x4

Eventualmente se podrán practicar otros deportes de aventura contratados puntualmente dada la imposibilidad de crear unos servicios propios, tal es el caso del paracaidismo y el rafting."
Aeroclub Gallecs	Aeromodelismo en Barcelona.
Agrupacio Atletica Catalunya	"Agrupacio Atletica Catalunya
Dedicada a l`atletisme de promoció i competició.
Escola d`atletisme i equips a totes les categories i especialitats. Compta amb la col.laboració dels següents Clubs Associats: CA Terres de l`Ebre, UA Montsià, UDTorredembarra, Nàstic de Tarragona, CA Olesa, CA Martorell, CA Nou Barris, Lluisos de Mataró, UGE Badalona, FACVAC, Penya Apa anem-hi, UA Barberà, CN Banyoles.

Les Escoles d`atletisme i els grups d`entrenament es realitzen a les pistes d`atletisme del CEM Can Dragó i l`Estadi Municipal d`atletisme J.Serrahima"
Aguamar Buceo	"Escuela de buceo en Valencia perteneciente a la Federación Valenciana de Actividades Subacuáticas,con gran experiencia en la enseñanaza del buceo deportivo de todos los niveles y especialidades de buceo.
Organización de salidas de buceo nacionales e internacionales."
AIKIDO	"Daniel Aguirre, 3º dan AIKIDO, AIKIKAI"
Aikido Kisei Valencia Mizu	"Este grupo surge como consecuencia de la búsqueda por parte de nuestro instructor de mejorar en la práctica, dejándolo todo por su sola idea de ser honesto con sí mismo y con sus alumnos. Esto le lleva a entrenar en solitario e iniciar un nuevo grupo, no sin la ayuda inestimable, de una gran aikidoka.

Nuestro instructor, Juan Antonio Ruiz, realiza viajes constantes a Sevilla para practicar directamente con los hermanos Peña, directores técnicos de la Asociación Nacional de Aikido Kisei Dojo, acude a los distintos Seminarios que realizan los mismos, así como a los seminarios que ha impartido en España Haruo Matsuoka Sensei, 5º Dan Aikikai.

Hoy en día la Asociación Nacional de Aikido Kisei Dojo, tiene su sede central en Sevilla, con delegaciones en Valencia y en Madrid."
AIKIDO OSAKA BUIKUKAI ESPAÑA	"Osaka Buikukai es una asociación de Aikido en línea directa del fundador de este arte marcial, llamado Morihei Ueshiba. En virtud de este lineamiento, Buikukai es una sub organización de la sede central del Aikido llamada AIKIKAI. Nuestra asociación (Osaka Buikukai) fué fundada por un alumno directo de fundador del Aikido de nombre Hirokazu Kobayashi. Osaka es el nombre de la segunda ciudad más grande del Japón, después de su capital (Tokyo) y es el centro de la parte oeste de este país. "
Aikido para principiantes en Gimnasio 'Bravo Murillo Fitness' - Escuela de Artes Marciales	"Si estás pensando en ocupar parte de tu tiempo libre en hacer algo atractivo y diferente, practicar Aikido puede ser una opción más que interesante.

No importa tu edad, sexo o condición física. Tan sólo que tengas ilusión y ganas por aprender, por descubrir un mundo nuevo.

Además, ni siquiera es necesario que dispongas mucho tiempo libre. Nuestras clases se imparten los lunes y miércoles de 19:00 a 20:00 horas y los sábados por la mañana de 11:00 a 13:00 horas, así que podrás acudir con total libertad a todas las clases que desees, en función de tu disponibilidad.

Y todo esto a un precio más que asequible.

Anímate y descubre con nosotros una actividad verdaderamente singular y original.

¡Porque las metas las decides tú!

"
Aktivados Entrenamiento Personal	"Consigue tus objetivos bajo la supervisión de profesionales, de la manera más rápida y segura. Cuando quieras y donde quieras."
Alcorisa Club de Tenis	Tenis en Alcorisa.
Alcoy Esquí Club	"Esquí,Snowboard,Esquí,Snowboard en Alcoy."
Alicante Sharks	Fútbol en Alacant.
All Sports Ski Club	"Buceo,Esquí,Hípica,Submarinismo,Vela,Windsurf,Esquí,Snowboard en Barcelona."
Alpha Escuela de Submarinismo	"La escuela de buceo ALPHA nació con el objetivo de aportar un nuevo punto de vista en la formación de buceadores, anteponiendo la calidad y profesionalidad de los cursos de buceo impartidos, para conseguir el máximo nivel de aprovechamiento y por lo tanto el máximo nivel de formación del buceador. Para ello contamos con instructores profesionales altamente cualificados, experimentados en cada una de las areas de formación.<br class="""">
<br class="""">
Como escuela de buceo completa, en nuestras escuelas de Barcelona y   Sabadell, podrás encontrar todos los medios necesarios para desarrollar tu formación sin limitación alguna: estación de carga de aire, aulas, piscina, equipos audiovisuales, informáticos, equipos de buceo de primera calidad, maniquís de resucitación, equipos de oxígeno, etc.<br class="""">
<br class="""">
En Alpha se realizan cursos de buceo en diferentes áreas: Iniciación y especialización de buceo recreativo, buceo técnico, primeros auxilios e incluso puedes dar los primeros pasos para convertir tu afición en tu profesión. Con nosotros podrás hacerte buceador aunque creas tener limitaciones y desarrollar cualquier faceta que decidas, desde la técnica de buceo pasando por la fotografía, o aprender a revisar tu propio material.<br class="""">
<br class="""">
No dudes en contactar con nosotros para informarte sin ningún tipo de compromiso.<br class="""">
"
Alta escuela de Kung Fu	"Somos una Escuela de Artes Marciales donde podrás practicar y aprender las siguientes disciplinas:<br class=""""> Kung-Fu, TaiChiChuan, Defensa Personal...<br class="""">
Todos nuestros profesores estan federados y titulados, oficialmente reconocidos por el Consell Català de l'Esport.<br class="""">
¡Ven a probar una clase gratuita!"
Alta Escuela de Kung Fu (TaiChiChuan)	"Somos una Escuela de Artes Marciales, donde podrás practicar y aprender las siguientes disciplinas:<br class="""">
 Kung-Fu, TaiChiChuan, Defensa Personal...<br class="""">
Todos nuestros profesores estan federados y titulados, reconocidos oficialmente por el Consell Català de l'Esport.<br class="""">
¡Ven a probar una clase gratis!"
AMICS DEL KUNG FU	"Clases dirigidas de Choy Li fut Kung fu.<br class="""">
Instructor David Dalmau, por la Asssociació Catalana de Choy Li Fut, Tai Chi Chuan i Chi Kung."
AMPA AGUAS VIVAS CAPOEIRA	SOMOS EL AMPA DEL IES AGUAS VIVAS EN GUADALAJARA ORGANIZAMOS CLASES DE CAPOEIRA LOS LUNES Y MIERCOLES DE 17H A 18H POR 25€/MES
Ananda Yoga Insituto	"Tai Chi,Yoga en Barcelona."
Anenmarcha	"La MARCHA NÓRDICA o nordic walking es una actividad física muy completa y saludable, apta para todo el mundo. Básicamente, consiste en caminar con paso firme mientras nos impulsamos sobre unos bastones parecidos a los del esquí pero más cortos. Con una técnica correcta, se produce una ligera rotación en la columna vertebral, al tiempo que la amplitud de nuestros pasos se alarga, implicando el ejercicio de la práctica totalidad de los grupos musculares.

En ANENMARCHA, escuela técnica y de perfeccionamiento de la marcha nórdica, te enseñamos todos los secretos para que puedas alcanzar una correcta ejecución de esta técnica, sin la cual perderíamos los múltiples beneficios que la marcha nórdica nos puede brindar. 

Para saber más:
visita nuestra web www.anenmarcha.com
o llama al 91/841.98.82 o al 639.903.773
"
Aquarea Fitness	"Gimnasio especializado en Fitness, Pilates y Artes Marciales. Spa, tratamientos de belleza y Venta de Nutrición deportiva"
Arabesque	"Quiero invitarte a conocer la Danza Oriental. Invitarte a disfrutar de la energía, alegría y belleza de cada uno de sus movimientos. Invitarte a conocer todos los beneficios que puede aportar a tu cuerpo y mente.

Prueba una clase sin compromiso. Una clase particular diseñada en exclusiva y a medida para ti.. Una clase en tu domicilio y en el horario que tú prefieras.

Llámame al 647.01.17.88 y empieza a sentir el bienestar corporal y mental que da la práctica de esta milenaria danza. Estaré encantada de enseñarte y de que aprendas conmigo.

Hasta pronto,

Helena"
ARADANCE C.B.D.	"Escuela de Baile Aradance:

Damos clases de Bailes de Salon:
Latinos: Samba, cha-cha, Bolero, pasodoble, jive.
Estandar: Vals lento, Vals vienes, tango, slow-fox, quick step.
Caribeños: Salsa, Merengue y bachata.

Nos adaptamos a cualquier nivel y grupo de edad.

Clases para niños: Iniciacion al Baile deportivo y de competicion.
Novios: Coreografias personalizadas, para su baile de honor.
Grupos: Coreografias para exhibiciones.

Clases particulares y de grupo.
"
Aragón Sport Padel SL	Padel en Calanda.
ARAGUA - Asociación Deportiva Zaragoza	Natación en Zaragoza.
AREA PILATES	"

El centro de Pilates y Gyrotonic Area Pilates, está situado en el barrio de Sant Gervasi de Barcelona, y cuenta con máquinas Stott Pilates (Cadillac, Silla, Barril y Reformer) además de  material complementario: Bosu, Aros, Balones, Rulos… 

Las sesiones de 55 minutos, pueden ser a modo de entrenamiento personal, duos o grupos reducidos y a precios especiales. Además se impartes clases para embarazadas y de suelo pélvico. El horario del Area Pilates, es de 7h a 22h de lunes a viernes. 

"
ASDE Exploradores de Madrid	Otro en Madrid.
ASDE Scouts de Cantabria	Otro en Santander.
ASDE Scouts de Castilla la Mancha	Otro en Albacete.
ASHTANGA YOGA MYSORE HOUSE MADRID	"Mysore House nace como lugar de conexión, de parar, de respirar…. Un lugar de encuentro con uno mismo, el silencio y con lo más básico de nuestra existencia, lo primero que hacemos y lo último también, con la respiración…<br class="""">
<br class="""">
Un espacio donde ampliar conciencia, donde volverse más despierto y eliminar poco a poco todo ese ruido mental que nos tiene anestesiados, cuidando y limpiando nuestro organismo a la vez.<br class="""">
<br class="""">
Nos gusta pensar en Mysore House como un “laboratorio personal”, ese lugar de encuentro donde aprender y profundizar sobre nosotros mismos….. al fin y al cabo, esa es la relación más larga que tenemos en la vida y sentimos que, muchas veces es la que menos cuidamos, la “relación conmigo mismo”.<br class="""">
<br class="""">
Creemos profundamente en lo poderoso y transformador de pasar un rato al día desarrollando la atención hacia uno mismo, la concentración….. Como en un gimnasio, con trabajo constante, se acaban potenciando músculos y consiguiendo el cuerpo deseado, exactamente igual se puede trabajar con la mente, y ese es el propósito y el sentido de este lugar.<br class="""">
"
Asociacion Aikido Mutokukai	Asociacion para el estudio de Aikido.
Asociación Atlética Avilesina	"Atletismo,Correr,Jogging,Running en Avilés."
Asociación Cultural Valenciana de Aikido - A.C.V.A.	"La Asociación Cultural Valenciana de Aikido está integrada dentro de la Asociación Cultural Aikikai España (A.C.A.E.), fundada por el Sensei Yasunari Kitaura.
El objetivo de esta asociación es el fomento y expansión del Aikido en la Comunidad Valenciana. Con este motivo se realiza anualmente un curso dirigido por nuestro maestro Yasunari Kitaura y al cual asisten practicantes de toda la geografía española e incluso de otros países."
Asociación interclubes de Automovilismo de Alicante	Automovilismo en Alacant.
Associaçâo Luta e Arte da Capoeira	"La “Associaçâo Luta e Arte da Capoeira” (Aluá Capoeira) es una entidad fundada el 16 de Julio de 2006 en la ciudad de Valencia (España) que tiene como principal objetivo mantener el equilibrio cultural del arte de la Capoeira y, junto a ello, el desarrollo de nuevos métodos de enseñanza, tanto prácticos como teóricos, que vienen a incentivar y preservar el valor que dieron los antiguos mestres a este arte.

Formador de capoeiristas, A.J y M.T.L en España.
Mestrando Cinzento Capoeira
Presidente Aluá Capoeira"
Associació de Naturalisme Subaquàtic NATURSUB	"Somos una asociación de naturalistas y/o buz@s que nos gusta disfrutar de nuestro planeta.
Organizamos cursos para conocer el medio y las técnicas para realizar el buceo con escafandra autónoma."
Associació Esportiva GMVertical	"A L'Associació Esportiva GMVertical s’organitzen activitats esportives de muntanya, tenint en funcionament diversos programes d'activitats adreçats a joves i grans i per a tots els gustos i nivells esportius, per intentar donar cabuda a totes les inquietuds de la gent. Les activitats guiades són una forma senzilla i segura d'iniciar‐se i practicar els nostres esports. A través de les diverses seccions, procurem que la pràctica esportiva tingui una
continuïtat, gràcies al coneixement d'altres companys amb qui compartir experiències. Les principals activitats del centre excursionista són l’alpinisme, l’escalada i l’espeleologia,
si bé també organitza activitats culturals i sortides de senderisme."
Atlantida - submarinismo - Buceo	Somos una escuela de buceo en Barcelona (clases teoricas) y centro de buceo en S'Agaro y Platja D'Aro. Estamos instalados en un hotel**** Confortel Caleta park 
Atlántida Buceo	Buceo en Alacant.
Atlantik Surf	surf en Bareyo.
Atletic Castellar	"Atletismo,Correr,Running en Castellar del Vallès."
Atlético Gijones Fumerú	"Atletismo,Correr,Jogging,Running en Gijón."
Atlético Novelda	"Atletismo,Correr,Jogging en Novelda."
Atletisme Crevillent	Atletismo en San Isidro.
Atletisme Sant Celoni	"Atletismo,Correr en Sant Celoni."
Atletismo Alcoy	"Atletismo,Jogging en Alcoi."
Atletismo Aspis	"Atletismo,Correr en Aspe."
Atletismo Corvera	"Atletismo,Correr,Jogging,Running en Avilés."
Atletismo Dolores	"Atletismo,Correr en Dolores."
Atletismo Gozón	"Atletismo,Correr,Jogging,Running en Luanco."
Atletismo Maraton Crevillente	"Atletismo,Correr en Crevillent."
Atletismo Petrer	"Atletismo,Correr en Petrer."
Atletismo San Vicente	"Atletismo,Correr en Sant Vicent del Raspeig."
Atletismo Santa Pola	"Atletismo,Correr en Santa Pola."
Atletismo Torrevieja	"Atletismo,Correr en Torrevieja."
Atletismo veterano Eycom Almería	Atletismo en Almería.
Automóvil club Alicante	Automovilismo en Alacant.
Automóvil Club Castellón	Automovilismo en Castelló de la Plana.
"Avant, Tenis en silla de ruedas"	"Atletismo,Baloncesto,Tenis,Vela en L'Eliana."
Aventura Sobrón	"Empresa de Aventura ubicada en Sobrón, álava, que ofrece las actividades de Campo de Aventura, Piragüismo, paintball, senderismo, BTT, tiro con arco, Puenting, rapel, escalada, etc.Disponemos de cafetería, piscinas, parking, pistas deportivas, zonas verdes, etc.Mas información en www.aventurasobron.com"
AWA Kiteboarding	"Kitesurf,Surf en Roquetas de Mar."
Ayurveda - Shobha lad	"AYURVEDA - VAIDYA SHOBHA LAD
 
CONSULTAS,PANCHKARMA, YOGAAYURVEDICO &amp; CURSO de Ayurveda -  PARA  MEDICOS &amp; PARA NO PROFESIONALES

Enseñanazas de Raseyandramangal, realizara para todo el publico, Apartir de 8 de marzo 2012.

Precio del curso es 248€ duracion 5 hrs. (no residente / internacional - fin de semana a las 11hrs - 16 hrs)

Objetivo de curso:

Para promover el crecimiento y el desarrollo de Ayurveda;
Para producir graduados y post graduados de todas las ramas de Ayurveda;
Para llevar a cabo, la investigación sobre diversos aspectos de Ayurveda;
Para brindar atención médica a través del Sistema de Medicina Ayurvédica de la humanidad que sufre;
Para proveer y ayudar en la prestación de servicios e instalaciones de primer orden para la investigación, evaluación, capacitación, asesoramiento y orientación a los sistema ayurvédico de medicina ayurvedica."
Barcelona Eagles Cricket Club	"Barcelona Eagles Cricket Club ha sido registrado legalmente en Consell Catala De Esport con numero de registro 14210 finales de 2009 .
 
KHURRAM es el Dueño y Presidente de este club y todo el equipamento del club ha sido comprado y pagado por el. los Jugadores de Barcelona eagles son muy buenos Algunos tiene mucha experiencia en este deporte como QAISAR ZULIFQAR. el ha sido mejor bateador de la liga 2010.
En la liga de 2011 llegamos a Semi Final de la liga Catalana de Cricket. 
los entrenamientos del club se hacen los fines de semanas a las 10:00 de la mañana en un parking entremedio de camp nou y palau real cuando no juega el barca y cuando no llueve.
 
Barcelona Eagles es un club muy joven pero tiene experiencia de Jugar una Final de torneo de T20 en cual esta de su Debut oficial.
 
Tiene mas de 1200 amigos de todo el mundo en facebook.
 
"
Barcelona Martial Arts Academy	"En BCNMA, impartimos clases privadas y en grupo de Muay Thai boxing, Defensa Personal Total (Kali/Inosanto Jeet Kune Do), Jiu Jitsu brasileño, Combat Submission Wrestling y Full Body Fitness (Fitness/Kettlebells y entrenamiento de la fuerza) para hombres y mujeres de todos los niveles y edades durante todo el año. Las clases se imparten en inglés y español al mismo tiempo. 

 
"
BASQUET 3 VILES	"De la fusió del C.B. Llavaneres, C.B. Sant Vicenç i Bàsquet Estrach, neix el Club Bàsquet3viles, un nou club que el seu 1er any ja te més de 300 esportistes."
Bàsquet Ateneu Montserrat	Baloncesto en Barcelona.
BÀSQUET CLUB ALMENAR	"La filosofia del Bàsquet Club Almenar ha estat des de la seva fundació la difusió del bàsquet a Almenar i rodalies, però no obstant, també hem volgut promoure iniciatives amb altres esports minoritaris, per tal de donar-los a conèixer i oferir més possibilitats de pràctica esportiva dels nens i nenes. És per això que des del començament es va decidir crear una Escola de Promoció Esportiva, amb el bàsquet com a esport principal i altres esports com l’atletisme, el cros, el tennis de taula, la natació (un temps després es fundaria el Club Natació Almenar) i els escacs, que van constituir seccions esportives del club durant anys."
Bàsquet Club Tecla Sala	Baloncesto en L'Hospitalet de Llobregat.
Bfit Ibiza Sports Club	"Bfit Ibiza es el mayor centro deportivo, de ocio y salud de Ibiza. Con más de 5.000 m2 pensados y diseñados para hacerte sentir bien.<br class="""">
Bfit cuenta con: Sala de Spinning en anfiteatro con 50 bicis, Salas para Actividades Colectivas con mas de 450 clases mensuales, Zona fitness y cardio con maquinas de última generación, Entrenadores Personales, Estudio Pilates, Centro de Belleza, Spa, Cafetería, Pistas de Padel panorámicas, Campo de Fútbol 3x3 interior, Guardería, increibles vestuarios y fácil aparcamiento, todo en el centro de Ibiza."
Biking Point	"Desde nuestra web de Biking Point contamos con un apartado Blog en nuestra web dónde informamos de actividades ciclistas que organizamos nosotros mismos como ""pedaladas"", calendario de pruebas ciclistas, reportajes sobre rutas realizadas, experiencias, artículos para ayudar a decidir en la compra del material más adecuado,... si quieres estar informado te puedes subscribir a nuestro newsletter o seguirnos en Facebook, Twitter, Instagram o Pinterest. 

Nosotros somos una empresa que nos dedicamos al mundo del ciclismo, tenemos 5 tiendas distribuidas por Cataluña: Bcn - Provença, Bcn – Meridiana, Mataró, L’Hospitalet y Tarragona, con un total de más de 2000m2 de exposición y con 5 años de experiencia. Además, también contamos con servicio de tienda on-line en la misma web."
BLAUMAR	"- Som un equip de professionals amb més de 40 anys d’experiència, que et garanteix la solvència i professionalitat que necessites.

- Al  realitzar a Blaumar el teu curs, les sortides de busseig, les compres, o be el manteniment del teu equipament, t'oferim la màxima garantia, seguretat i comoditat.

- Disposem d'aparcament i vestidors a pocs metres dels nostres vaixells.

- Tens més de 600 sortides a l’any, per descobrir el fascinant món submarí.

- Un servei de manteniment i reparació de material de les marques mundials mes prestigioses.

- El nostre personal tècnic esta certificat, especialment preparat i homologat, per les pròpies marques per fer aquesta tasca.

- També et podem oferir la venda o lloguer del material que puguis necessitar.

- Tenim obert durant tot l’any.

41º 31.9 N 2º 26.7 E"
Boxing Club Lugo	"Club de Boxeo de Lugo con más de 20 años de experiencia.
Entrenamiento gratuíto.
Para todas las edades.
Horario: 19:30 a 21:30 de Lunes a Viernes"
BTT SERRA ALTA	"Som un petit grup d'amics que hem creat un club de BTT encara som pocs però esperem anar creixent en aquesta web volem anar publicant totes les activitats que fem.
Nostra major il · lusió és poder fer activitats per al gaudi de tots i esdeveniments per tal de poder ajudar als altres amb l'aportació cada vegada que es realitzi algun esdeveniment esportiu públic
 
FES-TE SOCI
 
ELS AVANTATGES DE SER SOCI DEL CLUB ESPORTIU BTT SERRA ALTA
gaudir de totes les activitats esportives que realitzem.
descomptes amb el carnet de soci a Gasolineres, cinemes i teatres, Activitats / esport d'aventura, Museus, Motor, Turisme, Salut i Bellesa, Esports, Restaurants.
Val de Compra
per 10 € de quota anual 2013
posa't en contacte amb nosaltres i


Llegir més: http://www.amb-bici.com/
Crea la teva pròpia web gratis: http://www.webnode.cat"
Bubbles Dive - Cartagena	"Como futura Reserva Marina te ofrecemos en éste área las mejores inmersiones del Mediterraneo, cómodas instalaciones y todo el apoyo a proyectos de investigación que podamos conseguirte. 
En nuestras instalaciones a pie de los barcos, podrás obtener todo lo necesario para pasar un día inolvidable.
Disponemos de DOS EMBARCACIONES de fibra especialmente diseñado para buceo en el que os podréis vestir tanto en invierno como en verano con la mayor comodidad a salvo del calor y del frio.
El DIVING MEDITERRANEO, es una embarcación especialmente preparada para el buceo, con capacidad para 20 buceadores en el que solo embarcamos a 12 pasajeros para aumentar la comodidad en el mismo.
El SUPER, es una embarcación semirrigida BWA especialmente preparada para buceo y destinada a realizar inmersiones con los más especializados a puntos estratégicos de nuestra zona.
Ambos disponen de: equipo completo de salvamente, VHF, sonda, GPS, botiquín y equipo de oxigenación a bordo."
Bubbles Dive - Madrid	"Escuela, tienda especializada y buceo en reservas marítimas
Aulas: Como centro PADI 5* IDC, disponemos de todos los sistemas audiovisuales y de apoyo pedagógico.
Piscina: Disponemos de disponibilidad diaria y fines de semana, de piscina semiolímpica donde podréis aletear a vuestras anchas
Tienda: Todas las marcas (Mares, Scubapro, Cressi, Sunto, etc..) en venta y mantenimiento
Material de Alquiler: Disponemos  de material Cressi para alquiler para piscina, fines de semana y viajes"
Bubbles Dive - Tabarca	"En colaboración con el Hotel Isla de Tabarca hemos establecido el primer Resort de Buceo en el interior de una Reserva Natural Marina.<br class="""">
Te damos alojamiento, los permisos y el buceo en la Reserva.<br class="""">
INMERSIONES EN LA RESERVA  Reserva Marina. Actividades en la Reserva<br class="""">
Los primeros intentos para dotar de una cierta protección a la zona fueron realizados por el Ayuntamiento de Alicante que en 1.972 efectuó gestiones dirigidas a declararla parque nacional submarino aunque no fructificaron. Posteriormente, en el Plan Especial de Ordenación de la isla de Tabarca se adelantó la conveniencia y necesidad de crear una reserva marina. En el año 1.983, el Ayuntamiento de Alicante encargó un estudio ecológico del medio marino de la isla concluyéndose de éste la conveniencia de establecer una reserva marina en ella, a fin de preservar la fauna y flora marina de la zona y servir de base de repoblación en beneficio de la riqueza ecológica de las aguas colindantes. Como resultado de todo ello en 1.986 se estableció la reserva marina de Tabarca que ocupa una superficie rectangular de 1400 Ha y comprende aguas interiores, competencia de la Generalidad Valenciana, y aguas exteriores, cuya gestión compete a la Administración General del Estado.<br class="""">
<br class="""">
Medio Físico<br class="""">
El pequeño archipiélago de Tabarca se encuentra formado por una isla principal denominada Plana, de Santa Pola o Nueva Tabarca, de forma alargada (1.800 m de longitud por una anchura máxima de 400 m ) y orientación NO-SE, con un estrechamiento en su tercio oeste. Su relieve es plano, con un desnivel máximo de 15 m con respecto al nivel del mar. En la parte occidental alberga un pequeño pueblo amurallado, el de San Pedro y San Pablo. Completan dicho archipiélago, los islotes de La Cantera, de La Galera y de La Nao, junto a numerosos escollos (Negre, Roig, Cap del moro, Sabata o Naveta). Se halla situado a unas tres millas al Sur-Este del Cabo de Santa Pola y a unas 8 millas de la ciudad de Alicante, término municipal al que pertenece."
Bubbles Dive - Torrevieja	"Con más de 12 años haciendo las cosas bien, nos habéis convertido en una de las Escuelas con mayor reconocimiento a nivel nacional, y seguimos adelante ofreciendo nuevos alicientes y actividades para vosotros."
Buceo Tarragona Rikysub	"Rikysub es una empresa especializada en la enseñanza del buceo, ubicada en Tarragona desde 1990.Esta escuela ha formado a más de 2.200 buceadores a lo largo de una trayectoria de 22 años.Realizamos todo tipo de salidas para gente titulada, desde costa, en embarcacion, para principiantes y buceadores mas tecnicos....ademas de realizar excusiones a los puntos mas apreciados de nuestra geografia. "
Buceo Valencia	"Escuela de buceo en Valencia, con experiencia instituida en el año 1997, dinámica con más de 3.000 alumnos certificados en este periodo de tiempo, con enseñanza destinada en general a alumnos de la Comunidad Valenciana y con demanda de alumnos de otras comunidades. Única escuela dotada con 5* IDC PADI y acreditada para formar instructores PADI."
Bujinkan Bushi Dojo	http://bushidojo.wordpress.com/about/
